Refs,MAbs
"Greaney20
Liu20h",
Liu20e,"1-20
1-57
2-15
2-17
2-7
4-8
5-24
2-4
2-43"
"Li20e
Han20b","13G9
58G6
510A5
51D7"
Chi20b,"1E2
1E2-FC
2F2
2F2-Fc
3F11
3F11-Fc
4D8
4D8-Fc
5F8
5F8-Fc"
Wang20h,"1F6
2H4
3D11
3F11
5A6
6F8"
"Alsoussi20
Hassan20","2B04
2H04
1B07"
Chen20e,"311mab-31B5
311mab-32D4"
Wan20,414-1
"Wang20b
Haagmans20
Fedry20",47D11
Chi20,"4A8
0304-3H3"
Wec20,"ADI-55688
ADI-55689
ADI-56000
ADI-56046"
Wu20,"B38
H4"
"Cao20c
Du20","BD-368-2
BD-236
BD-503
BD-23
BD-508
BD-515
BD-602
BD-604
BD-606
BD-612
BD-617
BD-629
BD-632"
"Robbiani20
Barnes20
Weisblum20
Barnes20b","C002
C121
C135
C144
C105"
Shi20,"CB6
LY-CoV555"
"Rogers20
Yuan20c","CC12.1
CC12.3
CC6.29
CC6.30"
"Zost20
Zost20b","COV2-2196
COV2-2130
COV2-2381"
"Brouwer20
Wu20c
Liu20g","COVA1-18
COVA2-15
COVA1-16
COVA2-39
COVA2-04"
"terMeulen06
Yuan20b
Huo20",CR3022
Lee20b,CT-P59
Kreye20,"CV07-209
CV07-270"
"Seydoux20
Hurlburt20","CV30
CV30-GermLine"
Zhou20b,EY6A
Lv20,H014
Huo20b,"H11-H4
H11-H4-Fc
H11-D4-Fc"
Yi20,HA001
"Jones20
Chen20l",LY-CoV555
Noy-Porat20,MD65
Wang20l,"MW05
MW07
MW33"
Kreer20,"MnC4t2p1_B3
MnC2t2p1_C11
MnC2t1p1_A3
FnC1t2p1_D4
HbnC3t1p1_C6"
Gai20,Nb11-59
Schoof20,"Nb6
Nb6-matured
Nb6-trimeric
Nb6-matured-trimeric
Nb11"
Ju20,"P2B-2F6
P2C-1F11
P2C-1A13"
Andreano20,"PT-004
PT-100"
"Hansen20
Baum20
Baum20b","REGN10933
REGN10934
REGN10987
REGN10989"
Beasley20,"RU169-178-scFv
RU169-178-diabody
RU169-178-IgG"
Piccoli20,"S2H13
S2H14"
Tortorici20,"S2M11
S2E12"
Pinto20,"S309
VIR-7831"
Chan20b,SC31
Li20d,"SR4
MR3
MR4
MR17
MR17-K99Y"
Cao20f,"STI-1499
STI-2020"
Custodio20,Sb23
Hanke20,Ty1
Sun20,"VH-Ab6-Fc
VH-M397-Fc"
Bracken20,"VH2-A01-B01
VH2-A01-B02
VH-Fc-B01
VH3-B01"
Wrapp20,"VHH-72-Fc
VHH-55"
Li20b,ab1
Ejemel20,"mAb-362-IgA
mAb-362-IgA-secretory
mAb-362-IgA-dimeric
mAb-362-IgG"
Wu20b,"n3088
n3130"
Xiang20,"nb20
nb21
nb89"
